[2025/12/01 02:29:39] Epoch[27/300], Step[101/173], lr:8.97e-04, PSNR:22.01, pixel_loss:0.0960, clip_loss:0.0000, total_loss:0.0960 [WARMUP]
[2025/12/01 02:29:48] Epoch[27/300], Step[151/173], lr:9.06e-04, PSNR:22.01, pixel_loss:0.0960, clip_loss:0.0000, total_loss:0.0960 [WARMUP]
[2025/12/01 02:29:52] Epoch[27/300], Step[173/173], lr:9.10e-04, PSNR:22.02, pixel_loss:0.0963, clip_loss:0.0000, total_loss:0.0963 [WARMUP]
[2025/12/01 02:31:26] Epoch[28/300], Step[1/173], lr:9.10e-04, PSNR:22.24, pixel_loss:0.0984, clip_loss:0.0000, total_loss:0.0984 [WARMUP]
[2025/12/01 02:31:36] Epoch[28/300], Step[51/173], lr:9.19e-04, PSNR:22.16, pixel_loss:0.0949, clip_loss:0.0000, total_loss:0.0949 [WARMUP]
[2025/12/01 02:31:47] Epoch[28/300], Step[101/173], lr:9.27e-04, PSNR:22.11, pixel_loss:0.0952, clip_loss:0.0000, total_loss:0.0952 [WARMUP]
[2025/12/01 02:31:58] Epoch[28/300], Step[151/173], lr:9.36e-04, PSNR:22.16, pixel_loss:0.0946, clip_loss:0.0000, total_loss:0.0946 [WARMUP]
[2025/12/01 02:32:02] Epoch[28/300], Step[173/173], lr:9.40e-04, PSNR:22.17, pixel_loss:0.0948, clip_loss:0.0000, total_loss:0.0948 [WARMUP]
[2025/12/01 02:33:36] Epoch[29/300], Step[1/173], lr:9.40e-04, PSNR:21.55, pixel_loss:0.1029, clip_loss:0.0000, total_loss:0.1029 [WARMUP]
[2025/12/01 02:33:47] Epoch[29/300], Step[51/173], lr:9.49e-04, PSNR:22.25, pixel_loss:0.0929, clip_loss:0.0000, total_loss:0.0929 [WARMUP]
[2025/12/01 02:34:00] Epoch[29/300], Step[101/173], lr:9.57e-04, PSNR:22.34, pixel_loss:0.0929, clip_loss:0.0000, total_loss:0.0929 [WARMUP]
[2025/12/01 02:34:09] Epoch[29/300], Step[151/173], lr:9.66e-04, PSNR:22.34, pixel_loss:0.0931, clip_loss:0.0000, total_loss:0.0931 [WARMUP]
[2025/12/01 02:34:14] Epoch[29/300], Step[173/173], lr:9.70e-04, PSNR:22.31, pixel_loss:0.0933, clip_loss:0.0000, total_loss:0.0933 [WARMUP]
[2025/12/01 02:35:52] Epoch[30/300], Step[1/173], lr:9.70e-04, PSNR:22.4, pixel_loss:0.0939, clip_loss:0.0000, total_loss:0.0939 [WARMUP]
[2025/12/01 02:36:08] Epoch[30/300], Step[51/173], lr:9.79e-04, PSNR:22.66, pixel_loss:0.0884, clip_loss:0.0000, total_loss:0.0884 [WARMUP]
[2025/12/01 02:36:23] Epoch[30/300], Step[101/173], lr:9.87e-04, PSNR:22.53, pixel_loss:0.0900, clip_loss:0.0000, total_loss:0.0900 [WARMUP]
[2025/12/01 02:36:35] Epoch[30/300], Step[151/173], lr:9.96e-04, PSNR:22.52, pixel_loss:0.0907, clip_loss:0.0000, total_loss:0.0907 [WARMUP]
[2025/12/01 02:36:38] Epoch[30/300], Step[173/173], lr:1.00e-03, PSNR:22.51, pixel_loss:0.0909, clip_loss:0.0000, total_loss:0.0909 [WARMUP]
Eval at epoch 30: Train_PSNR=22.77, Val_PSNR=0.00, Train_CLIP_sim=-0.0207, Val_CLIP_sim=0.0000
[2025/12/01 02:40:35] Epoch[31/300], Step[1/173], lr:1.00e-03, PSNR:22.71, pixel_loss:0.0886, clip_loss:0.0000, total_loss:0.0886 [WARMUP]
[2025/12/01 02:40:51] Epoch[31/300], Step[51/173], lr:1.00e-03, PSNR:22.66, pixel_loss:0.0888, clip_loss:0.0000, total_loss:0.0888 [WARMUP]
[2025/12/01 02:41:05] Epoch[31/300], Step[101/173], lr:1.00e-03, PSNR:22.61, pixel_loss:0.0897, clip_loss:0.0000, total_loss:0.0897 [WARMUP]
